source_url,name,ingredients,instructions
https://www.bonappetit.com/recipe/zucchini-fries,Zucchini Fries With Herby Yogurt Dip,"2 large zucchini (about 1¼ lb.), trimmed | Zest of 1 lemon, plus more for serving | ½ cup labneh or plain whole-milk Greek yogurt | ¼ cup finely chopped tender herbs (such as dill, parsley, and/or basil), plus more for serving | 1½ tsp. plus 1 Tbsp. Diamond Crystal or 2¾ tsp. kosher salt, divided, plus more | Freshly ground pepper | ¾ cup all-purpose flour | 3 large eggs | 1½ cups panko | 1½ oz. Parmesan, finely grated (about ¾ cup) | 2¼ tsp. dried oregano | 2¼ tsp. garlic powder | Vegetable oil (2–3 cups if frying; ½ cup if baking) or nonstick vegetable oil spray (if air-frying) | A deep-fry thermometer (optional)","Cut 2 large zucchini (about 1¼ lb.), trimmed, in half crosswise. Cut each section in half lengthwise to get four quarters. Halve each quarter lengthwise to create 16 sticks total. | Stir zest of 1 lemon, ½ cup labneh or plain whole-milk Greek yogurt, ¼ cup finely chopped tender herbs (such as dill, parsley, and/or basil), 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt, a large pinch of freshly ground pepper, and 2 Tbsp. water in a small bowl until smooth. Cover herby yogurt and chill. | Whisk ¾ cup all-purpose flour and ¼ tsp. Diamond Crystal or Morton kosher salt in a shallow bowl to combine. Lightly whisk 3 large eggs and ¼ tsp. Diamond Crystal or Morton kosher salt in another shallow bowl. Place 1½ cups panko in a third shallow bowl. Using your hands or a measuring cup, crush panko into slightly finer pieces (you don’t need an even consistency, just some finer and coarser bits). Add 1½ oz. Parmesan, finely grated (about ¾ cup), 2¼ tsp. dried oregano, 2¼ tsp. garlic powder, 1 Tbsp. Diamond Crystal or 1¾ tsp. Morton kosher salt, and a large pinch of freshly ground pepper to panko; mix to combine. | Working with a few pieces at a time, dredge zucchini sticks in flour, shaking off excess. Dip in egg, letting excess drip back into bowl, then coat in panko mixture, pressing gently to adhere. Transfer to a wire rack set inside large rimmed baking sheet. | If frying: Pour vegetable oil into a medium high-sided skillet fitted with thermometer to come ¾"" up sides (2–3 cups) and heat over medium-high until thermometer registers 350°. Working in batches and bringing oil back up to 350° between batches, fry zucchini in a single layer, turning occasionally, until golden brown and crisp on all sides, about 3 minutes. Transfer zucchini fries back to wire rack; lightly season with salt.
If baking: Place a rack in lower third of oven and set a rimmed baking sheet on rack; preheat to 400°. When oven is hot (or after 10 minutes), carefully pour ½ cup vegetable oil onto hot baking sheet, carefully tilting baking sheet to coat evenly. Arrange zucchini, flat side down, on baking sheet in a single layer. Bake, turning halfway through, until golden brown and crisp, 30–35 minutes. Lightly season zucchini fries with salt.
If air-frying: Heat air fryer to 400°. Generously coat air fryer basket with nonstick vegetable oil spray. Working in batches if needed, arrange zucchini in basket in a single layer and cook until golden brown and crisp on top, 6–8 minutes. Turn zucchini and coat with nonstick spray. Cook until brown and crisp on other side 6–8 minutes. Lightly season zucchini fries with salt. | Transfer zucchini fries to a large plate or platter. Uncover herby yogurt and top with more herbs and lemon zest. Serve with zucchini fries for dipping."
https://www.bonappetit.com/recipe/pork-dinakdakan,Pork Dinakdakan,"3 red or green Thai chiles, halved lengthwise, thinly sliced | 10 garlic cloves, coarsely chopped | ½ cup apple cider vinegar | ½ cup soy sauce | 3 Tbsp. sugar | 4 dried bay leaves | 1 large red onion, thinly sliced, divided | 2 lb. skinless pork belly, sliced ¾"" thick | 1 Tbsp. vegetable oil; plus 2 tsp. if pan-searing (optional) | 6 oz. shishito peppers | 1 Tbsp. fish sauce | 1 ¾"" piece ginger, peeled, finely chopped | Steamed white rice (for serving; optional)","Whisk 3 red or green Thai chiles, halved lengthwise, thinly sliced, 10 garlic cloves, coarsely chopped, ½ cup apple cider vinegar, ½ cup soy sauce, and 3 Tbsp. sugar in a small bowl to combine. Set ¼ cup dressing aside. Place remaining dressing in a medium Dutch oven or other heavy pot. Add 4 dried bay leaves, ½ large red onion, thinly sliced, and 3 cups water, then add 2 lb. skinless pork belly, sliced ¾"" thick (it should be mostly submerged). Cover pot and set over medium heat. Bring to a simmer. Cook, adjusting heat as needed, until meat is tender (a chopstick inserted into the pork belly should meet with no resistance), 60–75 minutes. | Remove pork belly from pot and let sit until cool enough to handle. Pat with paper towels to remove as much moisture as possible. | Heat 1 Tbsp. vegetable oil in a large skillet over medium. Cook 6 oz. shishito peppers, tossing occasionally, until softened and blistered, 5–7 minutes. Transfer to a large bowl. | If pan-searing, add 2 tsp. vegetable oil to same pan. Cook pork, turning halfway through, until golden brown, about 6 minutes. | If grilling, prepare a grill for medium heat. Grill pork, turning halfway through, until crisp and golden brown, about 6 minutes. | Transfer pork belly to a cutting board and let cool slightly, then cut into bite-size pieces. Transfer to bowl with shishito peppers; add 1 Tbsp. fish sauce, one ¾"" piece ginger, peeled, finely chopped, remaining ½ large red onion, thinly sliced, and reserved dressing and toss to combine. Arrange on a platter and serve with steamed white rice if desired."
https://www.bonappetit.com/recipe/spicy-eggplant-frittata,Spicy Eggplant Frittata,"1 lb. Japanese eggplants (about 4 medium) | 4 Tbsp. unsalted butter, divided | 2 tsp. Diamond Crystal or 1¼ tsp. Morton kosher salt, divided | 6 large eggs | ½ cup whole milk | 2 tsp. cornstarch | 1 medium red onion, finely chopped | ½ bunch cilantro, finely chopped (including stems), plus leaves with tender stems for serving | 1 serrano chile or jalapeño, halved, thinly sliced | Steamed white rice or toasted bread and ketchup (for serving; optional)","Place a rack in middle of oven; preheat to 325°. Trim tops off 1 lb. Japanese eggplants (about 4 medium) and halve lengthwise; discard tops. Cut halves lengthwise into 4 strips each. Cut strips crosswise to make 3""-long pieces. | Heat 1 Tbsp. unsalted butter in a large nonstick skillet over medium-high. Add half of the eggplant and ¼ tsp. Diamond Crystal or Morton kosher salt. Cook, stirring occasionally with a heatproof rubber spatula, until golden brown and tender, 6–8 minutes. Transfer to a plate. Repeat with 1 Tbsp. unsalted butter, ¼ tsp. Diamond Crystal or Morton kosher salt, and remaining eggplant, leaving in pan. | Meanwhile, whisk 6 large eggs, ½ cup whole milk, 2 tsp. cornstarch, and remaining 1½ tsp. Diamond Crystal or ¾ tsp. Morton kosher salt in a medium bowl. Add 1 medium red onion, finely chopped, ½ bunch cilantro, finely chopped (including stems), and 1 serrano chile or jalapeño, halved, thinly sliced, and stir to combine. | Return all of the eggplant to skillet, add remaining 2 Tbsp. unsalted butter, and stir until melted. Pour egg mixture over eggplant, reduce heat to medium-low, and cook, scraping and stirring, until egg mixture is half set, about 5 minutes. Smooth surface and transfer pan to oven. Bake frittata until puffed and just set (it should wobble slightly in the center when gently shaken), 8–10 minutes. Let cool 5 minutes. | Scatter cilantro leaves with tender stems over frittata. Run a small offset spatula around sides to loosen and cut into wedges. Serve with steamed white rice or toasted bread and ketchup if desired."
https://www.bonappetit.com/recipe/juicy-bison-burger-with-cucumber-red-onion-slaw,Juicy Bison Burger With Cucumber–Red Onion Slaw,"½ cup mayonnaise | 1 Tbsp. finely grated lemon zest | 4 Tbsp. fresh lemon juice, divided | Kosher salt | 1 large English hothouse cucumber or 4 Persian cucumbers (about 8 oz.) | 1 small red onion, thinly sliced | 1 Tbsp. finely chopped mint | 1 Tbsp. finely chopped parsley | 2 tsp. white wine vinegar | 1 tsp. sugar | 1 tsp. freshly ground pepper, plus more | 1 Tbsp. granulated garlic | 1 Tbsp. smoked paprika | 2 tsp. ground cumin | 1 lb. ground bison | 4 hamburger buns, split | 1 Tbsp. extra-virgin olive oil, plus more for spatula","Mix ½ cup mayonnaise, 1 Tbsp. finely grated lemon zest, and 1 Tbsp. fresh lemon juice in a small bowl; season with kosher salt. Set lemon mayo aside. | Using a vegetable peeler, peel down entire length of 1 large English hothouse cucumber or 4 Persian cucumbers (about 8 oz.) to make long thin strips, working on one side until cucumber becomes difficult to peel in the center, then turning onto flat side and repeating on other side. Transfer ribbons to a medium bowl and add 1 small red onion, thinly sliced, 1 Tbsp. finely chopped mint, 1 Tbsp. finely chopped parsley, 2 tsp. white wine vinegar, 1 tsp. sugar, and remaining 3 Tbsp. fresh lemon juice; toss to combine. Season slaw with salt and freshly ground pepper and toss again. Let sit while you make the patties. | Mix 1 Tbsp. granulated garlic, 1 Tbsp. smoked paprika, 2 tsp. ground cumin, and 1 tsp. freshly ground pepper in a small bowl. Divide 1 lb. ground bison into 4 equal pieces and form into ¼""-thick patties. Sprinkle all over with spice mixture and season generously with salt. | Heat a large cast-iron skillet over medium-high. Working in 2 batches, toast 4 hamburger buns, split, cut side down, until golden and crisp around edges, 1–2 minutes. Transfer to plates. | Drizzle 1 Tbsp. extra-virgin olive oil into same pan; swirl to coat bottom. Working in batches if needed, arrange patties in pan and immediately press down on each one with a spatula coated in oil for a few seconds to maintain their thinness. Cook until deeply browned underneath, about 2 minutes. Flip patties and cook until deeply browned on other sides, about 2 minutes for medium-rare. Transfer patties to a plate; let rest 5 minutes. | Spread reserved lemon mayo over bottom half of each toasted bun. Top each with a patty and mound some slaw over. Close up burgers."
https://www.bonappetit.com/recipe/bicycle-bandit,Bicycle Bandit,1 oz. gin | ½ oz. Campari | Grapefruit soda (such as San Pellegrino Pompelmo; for serving) | Lemon wedge (for serving),Stir 1 oz. gin and ½ oz. Campari in a tall glass filled with ice until cold. Top off with grapefruit soda and garnish with lemon wedge.
https://www.bonappetit.com/recipe/grilled-purple-sweet-potato-salad,Grilled Purple Sweet Potato Salad,"2 lb. purple sweet potatoes, peeled | ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt, plus more | 1 Tbsp. white sesame seeds, plus more for serving | 1 garlic clove, finely grated | ½ cup mayonnaise | 1 Tbsp. finely grated lemon zest | 1 Tbsp. soy sauce | 1 tsp. freshly ground pepper | 1 tsp. sugar | 1 tsp. toasted sesame oil | 2 Tbsp. extra-virgin olive oil | Thinly sliced scallions (for serving)","Place 2 lb. purple sweet potatoes, peeled, in a large pot and pour in water to cover. Season with kosher salt and bring to a simmer; cook until almost tender, 18–25 minutes. Drain and let sit until dry and cool enough to handle. Slice in half lengthwise and place on a rimmed baking sheet. | Meanwhile, toast 1 Tbsp. white sesame seeds in a dry small skillet over medium, stirring occasionally, until deep golden brown, 5–7 minutes. Transfer to a mortar and pestle and let cool. Coarsely crush sesame seeds. (Alternatively, you can smash with the side of a chef’s knife or with a heavy skillet.) | Stir together 1 garlic clove, finely grated, ½ cup mayonnaise, 1 Tbsp. finely grated lemon zest, lemon juice, 1 Tbsp. soy sauce, 1 tsp. freshly ground pepper, 1 tsp. sugar, 1 tsp. toasted sesame oil, ½ tsp. Diamond Crystal or ¼ tsp. Morton kosher salt, and crushed sesame seeds in a small bowl. | Prepare a grill for medium-high heat. Drizzle 2 Tbsp. extra-virgin olive oil over sweet potatoes, season with salt, and turn to coat. Grill, cut sides down, until deeply charred underneath, 8–10 minutes. | Transfer sweet potatoes to a platter, arranging cut sides up. Using a fork, lightly crush. Spoon dressing over and top with sesame seeds and thinly sliced scallions."
https://www.bonappetit.com/recipe/jalapeno-popper-skillet-tacos,Jalapeño Popper Skillet Tacos,"12 oz. pepper jack cheese, coarsely grated (about 3 cups), divided | 4 tsp. all-purpose flour | 1 medium red onion, cut into 1""-thick wedges, layers separated | 4 medium poblano chiles, halved, ribs and seeds removed, cut into 1""-wide strips | 3 jalapeños, thinly sliced into strips | Extra-virgin olive oil (for drizzling) | Kosher salt | 8 oz. cream cheese, room temperature, cut into large pieces | Freshly ground pepper | Small flour tortillas, cilantro leaves with tender stems, and lime wedges (for serving)","Place a rack in upper third of oven; preheat to 450°. Set 1 cup coarsely grated pepper jack cheese aside. Place remaining 2 cups coarsely grated pepper jack cheese in a large bowl, add 4 tsp. all-purpose flour, and toss until completely coated. | Place 1 medium red onion, cut into 1""-thick wedges, layers separated, 4 medium poblano chiles, halved, ribs and seeds removed, cut into 1""-wide strips, and 3 jalapeños, thinly sliced into strips, in a medium ovenproof skillet. Drizzle lightly with extra-virgin olive oil and season with kosher salt; toss to coat. Roast in oven until tender and blistered in spots, 20–25 minutes. Remove from oven and heat broiler (on high if your oven has options). | Meanwhile, heat ½ cup water in a medium saucepan over medium-high until starting to bubble at the edges. Reduce heat to medium, then add 8 oz. cream cheese, room temperature, cut into large pieces, and cook, whisking constantly, until smooth and combined, about 1 minute. Add coated pepper jack cheese and cook, whisking constantly and vigorously, until cheese is melted and sauce is smooth and homogeneous, about 3 minutes. (Sauce will thicken as it cools; reheat briefly, whisking, before the next step if needed.) | Pour sauce over onion mixture. Sprinkle reserved pepper jack cheese on top. Broil until bubbling and blistered in spots, about 3 minutes. Season with freshly ground pepper. | Serve cheesy onion mixture with small flour tortillas, cilantro leaves with tender stems, and lime wedges for building tacos."
